"Original_molecule_SMILES"	"CID"	"CSID"	"Structure_ID"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"1104"	"[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(Cl)C2=CC(=O)C3CC3[C@]12C"	6714003	"5145992"	405	"Prestwick"	"Prestw-1074"	"Cyproterone acetate"	NA	NA	NA
"1105"	"Cl.[H]C(O)(CNC(C)C)COC1=C2C=CC=CC2=CC=C1"	62882	"56610"	884	"Prestwick"	"Prestw-1075"	"(R)-Propranolol hydrochloride"	NA	NA	NA
"1106"	"Cl.[H]C(O)(CNC(C)C)COC1=C2C=CC=CC2=CC=C1"	62882	"56610"	888	"Prestwick"	"Prestw-1081"	"(S)-propranolol hydrochloride"	NA	NA	NA
"1107"	"[H]C1(O)CC2CCC(C1)N2C"	8424	"13871816"	4970	"Prestwick"	"Prestw-1077"	"Tropine"	NA	NA	NA
"1108"	"[Na+].[H][C@@]1(NC(=O)CC2=CC=CC=C2)C(=O)N2[C@@H](C([O-])=O)C(C)(C)S[C@]12[H]"	23668834	NA	1152	"Prestwick"	"Prestw-1078"	"Benzylpenicillin sodium"	NA	NA	NA
"1109"	"CC(=O)N[C@H](CC(=O)N[C@H](CCC(O)=O)C(O)=O)C(O)=O"	92222445	"182277"	270	"Prestwick"	"Prestw-1091"	"Spaglumic acid"	NA	NA	NA
"1110"	"Cl.CC(C)NC[C@H](O)C1=CC(O)=C(O)C=C1"	656783	"571096"	889	"Prestwick"	"Prestw-1097"	"(-)-Isoproterenol hydrochloride"	NA	NA	NA
"1111"	"[H][C@@]12CCC[C@]1([H])N(C(C2)C(O)=O)C(=O)[C@H](C)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC"	6714009	"5145998"	2081	"Prestwick"	"Prestw-1107"	"Ramipril"	NA	NA	NA
"1112"	"O.O.Cl.OC1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O"	16219735	"17347051"	7717	"Prestwick"	"Prestw-116"	"Naltrexone hydrochloride dihydrate"	NA	NA	NA
"1113"	"Cl.O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(O)C5=C4[C@@]2(CCN3CC2CCC2)[C@H]1O5"	5360733	"4514572"	7498	"Prestwick"	"Prestw-118"	"Nalbuphine hydrochloride"	NA	NA	NA
"1114"	"Cl.OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F"	441362	"390111"	7494	"Prestwick"	"Prestw-126"	"Mefloquine hydrochloride"	NA	NA	NA
"1115"	"Cl.COC1=CC=C(C=C1)[C@@H]1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)[C@@H]1OC(C)=O"	62920	"56639"	3931	"Prestwick"	"Prestw-134"	"Diltiazem hydrochloride"	NA	NA	NA
"1116"	"CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O"	126941	"112728"	2728	"Prestwick"	"Prestw-135"	"Methotrexate"	NA	NA	NA
"1117"	"CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O"	126941	"112728"	2728	"Tocris"	"1230"	"Methotrexate"	"CAS: 59-05-2"	"Cytotoxic agent"	NA
"1118"	"Cl.CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)C1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O"	6419884	"4925498"	1805	"Prestwick"	"Prestw-137"	"Clindamycin hydrochloride"	NA	NA	NA
"1119"	"Cl.CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)C1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O"	6419884	"4925498"	1805	"Spectrum"	"01500193"	NA	"CAS: 21462-39-5, 58207-19-5 [monohydrate], 18323-44-9 [clindamycin] Source: semisynthetic; U-21251 Status: USAN, INN, BAN Therapeutic area: antibacterial, inhibits protein synthesis"	NA	NA
"1120"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"	12560	"12041"	2322	"Prestwick"	"Prestw-151"	"Erythromycin"	NA	NA	NA
"1121"	"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"	12560	"12041"	2322	"Spectrum"	"01500280"	NA	"CAS: 114-07-8 Source: Streptomyces erythreus Status: USP, INN, BAN, JAN Therapeutic area: antibacterial"	NA	NA
"1122"	"OP(O)(O)=O.CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O"	72492	"65404"	3282	"Prestwick"	"Prestw-152"	"Oleandomycin phosphate"	NA	NA	NA
"1123"	"[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)C1=CC=CC=C1)C1=CC=CC=C1"	36314	"10368587"	378	"Prestwick"	"Prestw-155"	"Paclitaxel"	NA	NA	NA
"1124"	"N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O"	6047	"5824"	8036	"Prestwick"	"Prestw-17"	"Levodopa"	NA	NA	NA
"1125"	"Cl.C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1"	27944	"25996"	149	"Prestwick"	"Prestw-182"	"Levamisole hydrochloride"	NA	NA	NA
"1126"	"Cl.C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1"	27944	"25996"	149	"Spectrum"	"01503245"	NA	"CAS: 16595-80-5, 14769-73-4 [levamisole] Source: synthetic Status: USP, INN, BAN Therapeutic area: immunomodulator"	NA	NA
"1127"	"CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1"	2083	"1999"	550	"Prestwick"	"Prestw-198"	"Salbutamol"	NA	NA	NA
"1128"	"NC1=CC(=NC(=N)N1O)N1CCCCC1"	4201	"11439687"	6627	"Prestwick"	"Prestw-20"	"Minoxidil"	NA	NA	NA
"1129"	"NC1=CC(=NC(=N)N1O)N1CCCCC1"	4201	"11439687"	6626	"MIPE"	"NCGC00015673-08"	NA	"CAS:38304-91-5"	"Mechanism: K(ATP) Channel Activators"	"Source: Selleck/S1383"
"1130"	"Cl.CNC(NCCSCC1=CC=C(CN(C)C)O1)=C[N+]([O-])=O"	47909	NA	2941	"Prestwick"	"Prestw-201"	"Ranitidine hydrochloride"	NA	NA	NA
"1131"	"CC(C)(CO)[C@@H](O)C(=O)NCCCO"	131204	"115991"	604	"Prestwick"	"Prestw-22"	"Panthenol (D)"	NA	NA	NA
"1132"	"CC(C)(CO)[C@@H](O)C(=O)NCCCO"	131204	"115991"	604	"Spectrum"	"01505420"	NA	"CAS: 81-13-0 Source: semisynthetic Status: USP, INN, BAN Therapeutic area: cholinergic"	NA	NA
"1133"	"[H]C(=O)NC1=CC=CC(C(=O)NC2[C@@H](C)OC(=O)[C@H](CCCCCC)[C@@H](OC(=O)CC(C)C)[C@H](C)OC2=O)=C1O"	6420045	"4925626"	1626	"Prestwick"	"Prestw-222"	"Antimycin A"	NA	NA	NA
"1134"	"[Na+].[H][C@@]1(NC(=O)[C@H](N=C)C2=CC=CC=C2)C(=O)N2[C@@H](C([O-])=O)C(C)(C)S[C@]12[H]"	25195407	NA	1156	"Prestwick"	"Prestw-235"	"Metampicillin sodium salt"	NA	NA	NA
"1135"	"CC(NC(NC1=CC=NC=C1)=NC#N)C(C)(C)C"	4826	NA	1018	"Prestwick"	"Prestw-246"	"Pinacidil"	NA	NA	NA
"1136"	"CC(NC(NC1=CC=NC=C1)=NC#N)C(C)(C)C"	4826	NA	1018	"Spectrum"	"02300270"	NA	"CAS: 85371-64-8, 60560-33-0 [anhydrous] Source: synthetic Status: USAN, INN Therapeutic area: K channel agonist, antihypertensive"	NA	NA
"1137"	"CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl"	27200	"25315"	4281	"Prestwick"	"Prestw-25"	"Thiamphenicol"	NA	NA	NA
"1138"	"CNC(NC#N)=NCCSCC1=C(C)NC=N1"	2756	NA	2929	"Prestwick"	"Prestw-26"	"Cimetidine"	NA	NA	NA
"1139"	"[H][C@]12N3CCC[C@@]1(CC)C[C@@](O)(N1C4=CC=CC=C4C(CC3)=C21)C(=O)OC"	15376	"14635"	2285	"Prestwick"	"Prestw-271"	"Vincamine"	NA	NA	NA
"1140"	"Cl.Cl.CC[C@H](CO)NCCN[C@H](CC)CO"	6419929	"4925532"	2262	"Prestwick"	"Prestw-28"	"Ethambutol dihydrochloride"	NA	NA	NA
"1141"	"O.Cl.[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1"	16219921	"20139312"	4086	"Prestwick"	"Prestw-280"	"Quinidine hydrochloride monohydrate"	NA	NA	NA
"1142"	"[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C"	10133	"9728"	4485	"Prestwick"	"Prestw-285"	"Chenodiol"	NA	NA	NA
"1143"	"OC(=O)C=C/C(O)=O.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O"	5462344	"5014479"	2078	"Prestwick"	"Prestw-314"	"Enalapril maleate"	NA	NA	NA
"1144"	"OC(=O)C=C/C(O)=O.CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O"	5462344	"5014479"	2078	"Spectrum"	"01501214"	NA	"CAS: 76095-16-4, 75847-73-3 [enalapril] Source: synthetic Status: USP, INN, BAN, JAN Therapeutic area: ACE inhibitor, antihypertensive"	NA	NA
"1145"	"OS(O)(=O)=O.OS(O)(=O)=O.OS(O)(=O)=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](NC(N)=N)[C@H](O)[C@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](NC(N)=N)[C@H](O)[C@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O"	6419957	"4925554"	5034	"Prestwick"	"Prestw-321"	"Streptomycin sulfate"	NA	NA	NA
"1146"	"Cl.C[C@@H](N)[C@@H](O)C1=CC=CC=C1"	6433169	"4938352"	4386	"Prestwick"	"Prestw-324"	"Phenylpropanolamine hydrochloride"	NA	NA	NA
"1147"	"CNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O"	102175	"92307"	2965	"Prestwick"	"Prestw-338"	"N6-methyladenosine"	NA	NA	NA
"1148"	"Cl.NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl"	71401	"64493"	6444	"Prestwick"	"Prestw-339"	"Guanfacine hydrochloride"	NA	NA	NA
"1149"	"Cl.NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl"	71401	"64493"	6444	"LOPAC"	"G1043"	"Guanfacine hydrochloride; N-(aminoiminomethyl)-2,6-dichloro-benzeneacetamide hydrochloride"	"alpha2-Adrenoceptor agonist"	NA	NA
"1150"	"Cl.NC(=N)NC(=O)CC1=C(Cl)C=CC=C1Cl"	71401	"64493"	6452	"Spectrum"	"01505435"	NA	"CAS: 29110-47-2 Source: synthetic; BS-100-141 Status: USP, INN, BAN, JAN Therapeutic area: antihypertensive"	NA	NA
"1151"	"C[C@H]1CCC[C@@H](C)N1NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O"	12492	"11980"	4546	"Prestwick"	"Prestw-354"	"Clopamide"	NA	NA	NA
"1152"	"O.Br.[H][C@]12CCCC[C@]11CCN(C)[C@H]2CC2=C1C=C(OC)C=C2"	5462351	"10481986"	3991	"Prestwick"	"Prestw-359"	"Dextromethorphan hydrobromide monohydrate"	NA	NA	NA
"1153"	"CN(CC1=NC2=C(N)N=C(N)N=C2N=C1)C1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O"	4112	"3969"	2727	"Prestwick"	"Prestw-373"	"Amethopterin (R,S)"	NA	NA	NA
"1154"	"OC(=O)C=C/C(O)=O.[H][C@@]12CC3=CNC4=C3C(=CC=C4)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO"	114723	"4444529"	2260	"Prestwick"	"Prestw-374"	"Methylergometrine maleate"	NA	NA	NA
"1155"	"N[C@@H](CN1C=CC(=O)C(O)=C1)C(O)=O"	440473	"389405"	8042	"Prestwick"	"Prestw-379"	"Mimosine"	NA	NA	NA
"1156"	"CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1"	456201	"401695"	246	"Prestwick"	"Prestw-389"	"Ketoconazole"	NA	NA	NA
"1157"	"CC(=O)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1"	456201	"401695"	246	"Tocris"	"1103"	"Ketoconazole"	"CAS: 65277-42-1"	"Cytochrome P450c17 inhibitor"	NA
"1158"	"OC(=O)CC(O)(CC(O)=O)C(O)=O.CCN(CC)CCOC1=CC=C(C=C1)C(=C(Cl)C1=CC=CC=C1)C1=CC=CC=C1"	60974	"2298419"	2412	"Prestwick"	"Prestw-397"	"Clomiphene citrate (Z,E)"	NA	NA	NA
"1159"	"CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(C)C(O)=C(C)C(C)=C2O1"	14985	"14265"	729	"Prestwick"	"Prestw-404"	"Tocopherol (R,S)"	NA	NA	NA
"1160"	"[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)C=CC=CC=CC=CC=CC=CC=C[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2"	14956	"4444451"	4586	"Prestwick"	"Prestw-410"	"Amphotericin B"	NA	NA	NA
"1161"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C"	5879	"5668"	4674	"Prestwick"	"Prestw-411"	"Androsterone"	NA	NA	NA
"1162"	"COC1=CC=C(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)C=C1"	253602	"222267"	3768	"Prestwick"	"Prestw-412"	"Anisomycin"	NA	NA	NA
"1163"	"COC1=CC=C(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)C=C1"	253602	"222267"	3768	"Spectrum"	"01503906"	NA	"CAS: 22862-76-6 Source: Streptomyces griseolus Status: experimental Literature: JACS 76:4053 (1954); Chem Pharm Bull 17:1405 (1969); Prog Neurobiology 16:155 (1981); Mol Cell Biochem 14:7352 (1994) Therapeutic area: antiprotozoal, antifungal, protein synthesis inhibitor"	NA	NA
"1164"	"COC1=CC=C(C[C@H]2NC[C@H](O)[C@H]2OC(C)=O)C=C1"	253602	"222267"	3768	"Tocris"	"1290"	"Anisomycin"	"CAS: 22862-76-6"	"Protein synthesis inhibitor"	NA
"1165"	"[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCCC2=C/C=C1/C[C@@H](O)CCC1=C"	89690182	"24589679"	732	"Prestwick"	"Prestw-429"	"Cholecalciferol"	NA	NA	NA
"1166"	"CO[C@@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC"	5311047	"4470584"	3264	"Prestwick"	"Prestw-430"	"Cisapride"	NA	NA	NA
"1167"	"Cl.COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3C[C@](O)(C[C@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C3=C1O)C(=O)CO)C2=O"	443939	"391993"	4149	"Prestwick"	"Prestw-438"	"Doxorubicin hydrochloride"	NA	NA	NA
"1168"	"[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@@H](O)CC[C@]12C"	441302	"390065"	4671	"Prestwick"	"Prestw-440"	"Epiandrosterone"	NA	NA	NA
"1169"	"[H][C@]12CC34[C@@]5([H])C[C@@H](C(C)(C)C)[C@@]33[C@@H](O)C(=O)O[C@@]3([H])O[C@@]4(C(=O)O5)[C@@]1(O)[C@H](C)C(=O)O2"	23817960	"21468875"	4391	"Prestwick"	"Prestw-444"	"Ginkgolide A"	NA	NA	NA
"1170"	"O[N+]([O-])=O.CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O"	657349	NA	2325	"Prestwick"	"Prestw-449"	"Pilocarpine nitrate"	NA	NA	NA
"1171"	"O[N+]([O-])=O.CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O"	657349	NA	2325	"Spectrum"	"01500487"	NA	"CAS: 148-72-1, 92-13-7 [pilocarpine] Source: Pilocarpus spp Status: USP Therapeutic area: antiglaucoma agent, miotic"	NA	NA
"1172"	"COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O"	1302	"1262"	4055	"Prestwick"	"Prestw-45"	"Naproxen"	NA	NA	NA
"1173"	"Cl.[H][C@]12CC[C@]([H])(CC(C1)OC(=O)C1C=NC3=C1C=CC=C3)N2C"	657379	"571480"	4969	"Prestwick"	"Prestw-461"	"Tropisetron HCl"	NA	NA	NA
"1174"	"[H][C@@]1(NC(=O)C(=N/OCC(O)=O)C2=CSC(N)=N2)C(=O)N2C(C(O)=O)=C(CS[C@]12[H])C=C"	54362	"4882023"	6806	"Prestwick"	"Prestw-462"	"Cefixime"	NA	NA	NA
"1175"	"OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C(O)=C1"	5281672	"4444991"	7551	"Prestwick"	"Prestw-465"	"Myricetin"	NA	NA	NA
"1176"	"OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C(O)=C1"	5281672	"4444991"	7560	"John Hopkins"	"JHU- 12912"	NA	NA	NA	NA
"1177"	"OC1=CC2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(O)=C(O)C(O)=C1"	5281672	"4444991"	7232	"MIPE"	"NCGC00015697-11"	NA	"CAS:529-44-2"	"Mechanism: Cytochrome P450 CYP1A2 Inhibitor, Androgen Receptor Ligands"	"Source: Selleck/S2326"
"1178"	"O.O.O.O.O.O.O.O.[H][C@@]12CC[C@]3(O)C[C@H](C[C@@H](O)[C@]3(CO)[C@@]1([H])[C@H](O)C[C@]1(C)[C@H](CC[C@]21O)C1=CC(=O)OC1)O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O"	6364534	"4895482"	4450	"Prestwick"	"Prestw-471"	"Strophantine octahydrate"	NA	NA	NA
"1179"	"OC(=O)C=C/C(O)=O.CN(C)CCC(C1=CC=C(Br)C=C1)C1=NC=CC=C1"	91495	"10688228"	4749	"Prestwick"	"Prestw-475"	"Brompheniramine maleate"	NA	NA	NA
"1180"	"Cl.[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(C=CC=C1OC)C3=O)C(C)=O)O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1"	62770	"56512"	4150	"Prestwick"	"Prestw-487"	"Daunorubicin hydrochloride"	NA	NA	NA
"1181"	"Cl.[H][C@](CC(C)C)(NC)C(=O)N[C@@H]1[C@H](O)C2=CC(Cl)=C(OC3=C(O[C@@H]4OC(CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@]([H])(NC(=O)[C@]([H])(CC(N)=O)NC1=O)C(=O)N[C@]1([H])C3=CC(=C(O)C=C3)C3=C(C=C(O)C=C3O)[C@H](NC(=O)[C@@]([H])(NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C=C2"	24721356	"21468757"	5027	"Prestwick"	"Prestw-497"	"Vancomycin hydrochloride"	NA	NA	NA
"1182"	"[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(OC(=O)[C@@H]2C)O4"	68827	"62060"	4413	"Prestwick"	"Prestw-498"	"Artemisinin"	NA	NA	NA
"1183"	"[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(OC(=O)[C@@H]2C)O4"	68827	"62060"	4413	"Tocris"	"2668"	"Artemisinin"	"CAS: 63968-64-9"	"Antimalarial agent"	NA
"1184"	"[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC=C(CC2C3=C(CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCC4=C(C=C(OC)C(OC)=C4)C2CC2=CC(OC)=C(OC)C=C2)C=C(OC)C(OC)=C3)C=C1OC"	47320	NA	3732	"Prestwick"	"Prestw-5"	"Atracurium besylate"	NA	NA	NA
"1185"	"C[C@H]1O[C@@H](OC2CC(O)C(C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C(O)C(C)C=CC=CCCC=CC=CC=CC=C2)C(O)=O)[C@@H](O)[C@@H](N)[C@@H]1O"	24871028	"50165548"	4456	"Prestwick"	"Prestw-517"	"Nystatine"	NA	NA	NA
"1186"	"CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1"	175540	"152937"	886	"Prestwick"	"Prestw-536"	"(R)-(+)-Atenolol"	NA	NA	NA
"1187"	"CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1"	175540	"152937"	886	"Tocris"	"0393"	"S-(-)-Atenolol"	"CAS: 93379-54-5"	"Active isomer "	NA
"1188"	"[H][C@]12O[C@]1(C)CCC=C(C)CC[C@@]1([H])C(=C)C(=O)O[C@]21[H]"	927704	"5584841"	5068	"Prestwick"	"Prestw-550"	"Parthenolide"	NA	NA	NA
"1189"	"CS(O)(=O)=O.[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=C5C(=CC=C6)[C@@]4([H])C3)(O[C@@]21O)C(C)C"	444034	"392057"	833	"Prestwick"	"Prestw-562"	"Dihydroergocristine mesylate"	NA	NA	NA
"1190"	"[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]1([H])N(C)CCC2=C1C(OC)=C1OCOC1=C2"	275196	"242139"	4006	"Prestwick"	"Prestw-563"	"Noscapine"	NA	NA	NA
"1191"	"OS(O)(=O)=O.[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C.[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C"	6150	"5918"	2882	"Prestwick"	"Prestw-566"	"Eserine sulfate, physostigmine sulfate"	NA	NA	NA
"1192"	"CCN1C[C@@]2(COC)C3[C@@H](OC)[C@H]4[C@@H]1[C@@]3(C1C[C@@]3(O)[C@H](OC(=O)C5=CC=CC=C5)C1[C@]4(OC(C)=O)[C@@H](O)[C@H]3OC)[C@H](C[C@H]2O)OC"	6713948	"5145938"	2454	"Prestwick"	"Prestw-567"	"Aconitine"	NA	NA	NA
"1193"	"Cl.Cl.[H][C@]1(C[C@H]2C[C@]3([H])N(CCC4=C3C=C(OC)C(OC)=C4)C[C@@H]2CC)NCCC2=C1C=C(OC)C(OC)=C2"	3068143	"2328125"	2315	"Prestwick"	"Prestw-570"	"Emetine dihydrochloride "	NA	NA	NA
"1194"	"[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@]1(CC[C@H](C)CN1)O2"	65576	"59019"	4610	"Prestwick"	"Prestw-573"	"Tomatidine"	NA	NA	NA
"1195"	"Cl.[H][C@@]12CC[C@H](O)[C@@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2"	198500	"171810"	3084	"Prestwick"	"Prestw-578"	"Corynanthine hydrochloride"	NA	NA	NA
"1196"	"Cl.[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]1([H])N(C)CCC2=CC3=C(OCO3)C=C12"	197834	"171233"	4001	"Prestwick"	"Prestw-581"	"Hydrastine hydrochloride"	NA	NA	NA
"1197"	"Br.COC1=CC=C2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3OC1=C24"	121587	"108491"	3995	"Prestwick"	"Prestw-588"	"Galanthamine hydrobromide"	NA	NA	NA
"1198"	"Br.COC1=CC=C2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3OC1=C24"	121587	"108491"	3995	"Spectrum"	"01501202"	NA	"CAS: 357-70-0, 1953-04-4 [hydrobromide] Source: Galanthus, Narcissus and other Lillaceae Status: USAN Therapeutic area: anticholinesterase, analgesic, antiAlzheimer"	NA	NA
"1199"	"[H][C@]12CC3=CC(O)=C(OC)C=C3C3=C1C(CCN2C)=CC(O)=C3OC"	10154	"9748"	3577	"Prestwick"	"Prestw-600"	"Boldine"	NA	NA	NA
"1200"	"[H][C@@]12CC34[C@H](O)C1C1C[C@]([H])(N2[C@H](O)[C@H]1CC)[C@]3([H])N(C)C1=CC=CC=C41"	23760133	"26358668"	2310	"Prestwick"	"Prestw-602"	"Ajmaline"	NA	NA	NA
"1201"	"[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=C1C=CC=C2"	101744	"91930"	7475	"Prestwick"	"Prestw-606"	"(-)-Cinchonidine"	NA	NA	NA
"1202"	"[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)C1=CC=NC2=C1C=CC=C2"	90454	"81667"	7176	"Prestwick"	"Prestw-608"	"Cinchonine"	NA	NA	NA
"1203"	"[H][C@]12CN3CCCC[C@@]3([H])[C@]([H])(CN3CCCC[C@]13[H])C2"	644020	"559096"	136	"Prestwick"	"Prestw-618"	"Sparteine (-)"	NA	NA	NA
