"Structure_ID"	"Hypergeo_pval"	"Original_molecule_SMILES"	"Supplier"	"Supplier_ID"	"Supplier_Molname"	"Supplier_Data_1"	"Supplier_Data_2"	"Supplier_Data_3"
"1395"	"2492"	"0.187793427230049"	"CCC1=C(C=C(C=C1)C(=O)NC1=CC(CN2CCN(C)CC2)=CC(=C1)C(F)(F)F)C#CC1=CN2N=CC=C2N=C1"	"MIPE"	"NCGC00347217-01"	NA	NA	"Mechanism: discoidin domain receptor tyrosine kinase (DDR1)"	"Source: In house synthesis"
"1396"	"2493"	"1"	"CCN1C(=O)N=C(C2=CC(Cl)=CC=C2)C2=C1N=C(CC)C=C2"	"Tocris"	"1821"	"YM 976"	"CAS: 191219-80-4"	"PDE4 inhibitor"	NA
"1397"	"2495"	"1"	"CCC1=CC=CC(C)=C1N(C(C)COC)C(=O)CCl"	"Spectrum"	"00330035"	NA	"CAS: 51218-45-2 Source: synthetic Status: agricultural use Therapeutic area: herbicide"	NA	NA
"1398"	"2496"	"1"	"CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl"	"Spectrum"	"00330043"	NA	"CAS: 15972-60-8 Source: synthetic Status: agricultural use Therapeutic area: herbicide"	NA	NA
"1399"	"2499"	"1"	"CCC1=CC=CC(CC)=C1NC(=O)N1CC2=C(C1)C(NC(=O)C1=CC=C(C=C1)N1CCN(C)CC1)=NN2"	"MIPE"	"NCGC00346526-01"	NA	"CAS:398493-79-3"	"Mechanism: Aurora-A/B/c Inhibitor"	"Source: Selleck/S1454"
"1400"	"2502"	"1"	"CCC1=CC=CC(NC(=O)NC2=CC=C(OC3=CC=C4N=C(NC(=O)OC)NC4=C3)C=C2)=C1"	"PKIS1"	"GW673715X"	NA	"Discovery of Novel Benzimidazoles as Potent Inhibitors of TIE-2 and VEGFR-2 Tyrosine Kinase Receptors.    Journal of Medicinal Chemistry  (2007),  50(18),  4453-4470."	NA	NA
"1401"	"2503"	"1"	"Cl.CCC1=CC(=CC=C1)N(C)C(=N)NC1=CC=CC2=C1C=CC=C2"	"LOPAC"	"C4238"	"CNS-1102; N-(3-Ethylphenyl)-N-methyl-N-1-naphthalenylguanidine monohydrochloride; Cerestat; Aptiganel hydrochloride"	"Noncompetitive NMDA glutamate receptor antagonist."	NA	NA
"1402"	"2505"	"1"	"CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1"	"John Hopkins"	"JHU- 3874"	NA	"Therapeutic area: Antiinflammatory"	NA	NA
"1403"	"2507"	"0.408450704225352"	"Cl[H].CCC1=C(OC[C@@H](O)CNC2CCCC3=C2C=CC=C3)C=CC=C1"	"Tocris"	"1511"	"SR 59230A hydrochloride"	"CAS: 174689-39-5"	"beta-3 adrenoceptor antagonist"	NA
"1404"	"2508"	"1"	"OC(=O)C(O)=O.[H][C@](O)(CN[C@@]1([H])CCC2=C(C1)C=CC=C2)COC1=CC=CC=C1CC"	"LOPAC"	"S8688"	"SR 59230A oxalate; 3-(2-ethylphenoxy)-1[(1S)-1,2,3,4-tertahydronaphth-1-ylamino]-(2S)-2-propanol oxalate"	"beta3-Adrenoceptor antagonist"	NA	NA
"1405"	"2512"	"1"	"CCC1=NC2=C(C=NN2C2=CC=CC=C2)C(NC(C)(C)C)=N1"	"NCI"	"GPHR-00220029"	NA	NA	NA	NA
"1406"	"2513"	"1"	"CCC1=NC(=C(S1)C1=CC(NC(=O)C2=CC=CC=C2)=NC=C1)C1=CC=CC(C)=C1"	"MIPE"	"NCGC00345834-01"	NA	"CAS:303162-79-0"	"Mechanism: p38 MAPK Inhibitor, TNF-alpha Production Inhibitors"	"Source: SynKinase/SYN-1087"
"1407"	"2515"	"1"	"CCN1C2=C(N=C1C1=NON=C1N)C(CC)=NC=C2"	"PKIS1"	"SB-751148"	NA	"(1H-Imidazo[4,5-c]pyridin-2-yl)-1,2,5-oxadiazol-3-ylamine derivatives: Further optimisation as highly potent and selective MSK-1-inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2005),  15(14
),  3407-3411."	NA	NA
"1408"	"2516"	"1"	"CCC1=NN(CCCN2CCN(CC2)C2=CC=CC(Cl)=C2)C(=O)N1CCOC1=CC=CC=C1"	"NIHCC"	"SAM001246653"	"GPHR-00104105"	NA	NA	NA
"1409"	"2517"	"1"	"CCC1=NN2N=CC=CC2=C1C1=CC=NC(NC2CC2)=N1"	"PKIS1"	"GW683768X"	NA	"Synthesis and evaluation of pyrazolo[1,5-b]pyridazines as selective cyclin dependent kinase inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2008),  18(21),  5758-5762."	NA	NA
"1410"	"2518"	"1"	"CCC1=C(C(=O)C2=CC(Br)=C(O)C(Br)=C2)C2=C(O1)C=CC=C2"	"John Hopkins"	"JHU- 1092"	NA	"Therapeutic area: MISC- Uricosuric, Uricosuric"	NA	NA
"1411"	"2523"	"1"	"CCN1C2=CC(CN3CCCC3)=NC(C#CC(C)(C)O)=C2N=C1C1=NON=C1N"	"PKIS1"	"GSK1000163A"	NA	"Aminofurazans as potent inhibitors of AKT kinase.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(5),  1508-1511."	NA	NA
"1412"	"2524"	"1"	"Cl.CCN1C2=CC(OCCNC)=NC(C#CC(C)(C)O)=C2N=C1C1=NON=C1N"	"PKIS1"	"GSK949675A"	NA	"Aminofurazans as potent inhibitors of AKT kinase.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(5),  1508-1511."	NA	NA
"1413"	"2525"	"1"	"Cl.Cl.CCN1C2=CC(OCCN)=NC(C#CC(C)(C)O)=C2N=C1C1=NON=C1N"	"PKIS2"	"GSK902056A"	NA	NA	NA	NA
"1414"	"2526"	"1"	"CCN1C2=CC(OC[C@@H](N)C3=CC=CC=C3)=NC(C#CC(C)(C)O)=C2N=C1C1=NON=C1N"	"PKIS1"	"GSK938890A"	NA	"Aminofurazans as potent inhibitors of AKT kinase.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(5),  1508-1511."	NA	NA
"1415"	"2527"	"1"	"CCN1C2=CC(OC[C@H](N)C3=CC=CC=C3)=NC(C#CC(C)(C)O)=C2N=C1C1=NON=C1N"	"PKIS1"	"GSK943949A"	NA	"Aminofurazans as potent inhibitors of AKT kinase.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(5),  1508-1511."	NA	NA
"1416"	"2528"	"1"	"OC(=O)C(F)(F)F.CCN1C2=CC(O[C@@H](CN)C3=CC=CC=C3)=NC(C#CC(C)(C)O)=C2N=C1C1=NON=C1N"	"PKIS1"	"GSK1007102B"	NA	"Aminofurazans as potent inhibitors of AKT kinase.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(5),  1508-1511."	NA	NA
"1417"	"2529"	"1"	"OC(=O)C(F)(F)F.CCN1C(=NC2=C(N=CC(OC3CCNCC3)=C12)C#CC(C)(C)O)C1=NON=C1N"	"PKIS1"	"GSK619487A"	NA	"Identification of 4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[(3S)-3-piperidinylmethyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol (GSK690693), a Novel Inhibitor of AKT Kinase.    Jo
urnal of Medicinal Chemistry  (2008),  51(18),  5663-5679."	NA	NA
"1418"	"2530"	"1"	"OC(=O)C(F)(F)F.CCN1C(=NC2=C(N=CC(OCC3CCNCC3)=C12)C#CC(C)(C)O)C1=NON=C1N"	"PKIS1"	"GSK554170A"	NA	"Identification of 4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[(3S)-3-piperidinylmethyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol (GSK690693), a Novel Inhibitor of AKT Kinase.    Jo
urnal of Medicinal Chemistry  (2008),  51(18),  5663-5679."	NA	NA
"1419"	"2531"	"1"	"OC(=O)C(F)(F)F.CCN1C(=NC2=C(N=CC(OCCCN)=C12)C#CCN)C1=NON=C1N"	"PKIS1"	"GSK561866B"	NA	"Identification of 4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[(3S)-3-piperidinylmethyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol (GSK690693), a Novel Inhibitor of AKT Kinase.    Jo
urnal of Medicinal Chemistry  (2008),  51(18),  5663-5679."	NA	NA
"1420"	"2533"	"1"	"CCN1C(=NC2=C(N=CC(OC[C@H]3CCCNC3)=C12)C#CC(C)(C)O)C1=NON=C1N"	"MIPE"	"NCGC00263181-01"	NA	"CAS:937174-76-0"	"Mechanism: Akt1/2/3 Inhibitor"	"Source: Selleck/S1113"
"1421"	"2534"	"1"	"CCN1C2=CC=NC(N3CCCC3)=C2N=C1C1=NON=C1N"	"PKIS1"	"SB-744941"	NA	"(1H-Imidazo[4,5-c]pyridin-2-yl)-1,2,5-oxadiazol-3-ylamine derivatives: Further optimisation as highly potent and selective MSK-1-inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2005),  15(14
),  3407-3411."	NA	NA
"1422"	"2535"	"1"	"CCN1C2=CC(F)=CC=C2N=C1C1=NON=C1N"	"PKIS1"	"GW785404X"	NA	"(1H-Imidazo[4,5-c]pyridin-2-yl)-1,2,5-oxadiazol-3-ylamine derivatives: A novel class of potent MSK-1-inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2005),  15(14),  3402-3406."	NA	NA
"1423"	"2536"	"1"	"CCN1C2=CC=CC=C2N=C1C1=NON=C1N"	"PKIS1"	"GW549034X"	NA	"(1H-Imidazo[4,5-c]pyridin-2-yl)-1,2,5-oxadiazol-3-ylamine derivatives: A novel class of potent MSK-1-inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2005),  15(14),  3402-3406."	NA	NA
"1424"	"2537"	"1"	"CCN1C2=CN=CC=C2N=C1C1=NON=C1N"	"PKIS1"	"SB-738561"	NA	"(1H-Imidazo[4,5-c]pyridin-2-yl)-1,2,5-oxadiazol-3-ylamine derivatives: A novel class of potent MSK-1-inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2005),  15(14),  3402-3406."	NA	NA
"1425"	"2538"	"1"	"CCN1C2=C(C=NC(OC3=CC=CC(NC(=O)C4=CC=C(OCCN5CCOCC5)C=C4)=C3)=C2)N=C1C1=NON=C1N"	"MIPE"	"NCGC00241982-03"	NA	"CAS:850664-21-0"	"Mechanism: ROCK 1, ROCK 2 Inhibitor"	"Source: Tocris/Cat. No. 4009"
"1426"	"2539"	"1"	"CCN1C2=CC(OC3=CC=CC(NC(=O)C4=CC=C(C=C4)N(C)C)=C3)=NC=C2N=C1C1=NON=C1N"	"PKIS1"	"GSK248233A"	NA	"Discovery of Aminofurazan-azabenzimidazoles as Inhibitors of Rho-Kinase with High Kinase Selectivity and Antihypertensive Activity.    Journal of Medicinal Chemistry  (2007),  50(1),  2-5."	NA	NA
"1427"	"2540"	"1"	"Cl.CCN1C(=NC2=CN=CC(C(=O)N3CC[C@H](N)C3)=C12)C1=NON=C1N"	"PKIS1"	"SB-772077-B"	NA	"Novel Rho kinase inhibitors with anti-inflammatory and vasodilatory activities.    Journal of Pharmacology and Experimental Therapeutics  (2007),  320(1),  89-98."	NA	NA
"1428"	"2541"	"1"	"Cl.CCN1C(=NC2=CN=CC(C(=O)N3CCNCC3)=C12)C1=NON=C1N"	"PKIS1"	"SB-759335-B"	NA	"Identification of 4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[(3S)-3-piperidinylmethyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol (GSK690693), a Novel Inhibitor of AKT Kinase.    Jo
urnal of Medicinal Chemistry  (2008),  51(18),  5663-5679."	NA	NA
"1429"	"2542"	"1"	"CCN1C(=NC2=CN=CC(C(=O)NCCNC)=C12)C1=NON=C1N"	"PKIS1"	"GW876790X"	NA	"Identification of 4-(2-(4-Amino-1,2,5-oxadiazol-3-yl)-1-ethyl-7-{[(3S)-3-piperidinylmethyl]oxy}-1H-imidazo[4,5-c]pyridin-4-yl)-2-methyl-3-butyn-2-ol (GSK690693), a Novel Inhibitor of AKT Kinase.    Jo
urnal of Medicinal Chemistry  (2008),  51(18),  5663-5679."	NA	NA
"1430"	"2543"	"1"	"CCN1C(=NC2=CN=CC(CNC3CCNCC3)=C12)C1=NON=C1N"	"MIPE"	"NCGC00273984-03"	NA	"CAS:607372-46-3"	"Mechanism: MSK-1,-2 Inhibitor"	"Source: custom synthesis"
"1431"	"2550"	"1"	"CCN1C2=C(NC(=N2)C2=CC=CC=C2)C(=O)N(CC)C1=O"	"LOPAC"	"A003"	"1,3-Diethyl-8-phenylxanthine; DPX"	"A1 Adenosine receptor antagonist"	NA	NA
"1432"	"2551"	"1"	"CCN1C(=O)NC2=CC(Cl)=C(Cl)C=C12"	"LOPAC"	"D9190"	"DCEBIO; 5,6-Dichloro-1-ethyl-1,3-dihydro- 2H-benzimidazol-2-one"	"Increases epithelial chloride secretion through the synergistic activation of a basolateral membrane-located K+ channel (hlK1) and an apical membrane Cl- conductance"	NA	NA
"1433"	"2553"	"0.441491717601204"	"CCN1C2=CC=C3N4C=CC=C4C=NC3=C2C2=C1C=CC=C2"	"NCI"	"GPHR-00220304"	NA	NA	NA	NA
"1434"	"2554"	"1"	"CCN1C2=CC=C(NC(=O)NC3=CC=C(C=C3C)[N+]([O-])=O)C=C2C2=C1C=CC=C2"	"NCI"	"GPHR-00220708"	NA	NA	NA	NA
"1435"	"2557"	"1"	"CCN1C(=O)N([C@@H]2CCN(CC3CCCCCCC3)C[C@H]2CO)C2=CC=CC=C12"	"MIPE"	"NCGC00344513-01"	NA	"CAS:256640-45-6"	"Mechanism: ORL1 (OP4, NOP) Antagonists "	"Source: Tocris"
"1436"	"2558"	"1"	"CCN1C2=C(N(C)C(C=CC3=CC=C(OC)C(OC)=C3)=N2)C(=O)N(CC)C1=O"	"MIPE"	"NCGC00253737-01"	NA	"CAS:155270-99-8"	"Mechanism: Adenosine A2A Agonists "	"Source: Selleck/S2790"
"1437"	"2559"	"1"	"CCN1C=C(C(O)=O)C(=O)C2=C1C(F)=C(N1CCNC(C)C1)C(F)=C2"	"John Hopkins"	"JHU- 5821"	NA	"Therapeutic area: Antibiotic"	NA	NA
"1438"	"2561"	"1"	"CCN1C=C(C(O)=O)C(=O)C2=C1C=C(N1CCNCC1)C(F)=C2"	"John Hopkins"	"JHU- 7066"	NA	"Therapeutic area: Antibiotic"	NA	NA
"1439"	"2562"	"1"	"CCN1C=C(C(O)=O)C(=O)C2=C1N=C(N1CCNCC1)C(F)=C2"	"John Hopkins"	"JHU- 3589"	NA	"Therapeutic area: Antibiotic"	NA	NA
"1440"	"2563"	"1"	"CCN1C=C(C(O)=O)C(=O)C2=C1C=C1OCOC1=C2"	"John Hopkins"	"JHU- 7359"	NA	"Therapeutic area: Antibiotic"	NA	NA
"1441"	"2564"	"1"	"CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2"	"John Hopkins"	"JHU- 6750"	NA	"Therapeutic area: Antibiotic"	NA	NA
"1442"	"2565"	"1"	"CCN1C=C(C(O)=O)C(=O)C2=C1N=C(CC1=CC=CC=C1)C=C2"	"LOPAC"	"D044"	"Amfonelic acid; 7-Benzyl-1-ethyl-1,4-dihydro-4-oxo-1,8-naphthyridine-3-carboxylic acid"	"Increases dopamine release during electrical stimulation; appears to mobilize dopamine release from storage compartments"	NA	NA
"1443"	"2568"	"1"	"CCN1C=C(C(=N1)C1=CC=C(NC(=O)N(C)C)C=C1)C1=C2C=C(NC2=NC=C1)C1=CC=CC(CN(C)C)=C1"	"MIPE"	"NCGC00346648-01"	NA	"CAS:942918-07-2"	"Mechanism: Aurora-B/C Inhibitor"	"Source: Selleck/S2740"
"1444"	"2569"	"1"	"CCN1C=C(C(=N1)C1=CC=CC(NC(=O)NC2=CC=C(OCC3=CC=CC=C3)C=C2)=C1)C1=CC=NC2=C1C=CN2"	"PKIS1"	"GSK718429A"	NA	" Knowledge-based design of 7-azaindoles as selective B-Raf inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2008),  18(16),  4610-4614."	NA	NA
"1445"	"2570"	"1"	"Cl.CCN1C=CN=C1CC1COC2=CC=CC=C2O1"	"LOPAC"	"I9531"	"Imiloxan hydrochloride; RS 21361"	"Selective alpha2B-adrenoceptor antagonist"	NA	NA
"1446"	"2571"	"1"	"CCN1C=NC2=C1N=CN=C2N"	"PKIS2"	"GW345098X"	NA	NA	NA	NA
"1447"	"2573"	"1"	"Cl.CCN1C=NC2=C1N=C(N[C@@H]1CCCC[C@@H]1N)N=C2NC1=CC(Cl)=CC=C1"	"LOPAC"	"C3353"	"CGP-74514A hydrochloride; N2-(cis-2-Aminocyclohexyl)-N6-(3-chlorophenyl)-9-ethyl-9H-purine-2,6-diamine hydrochloride; Compound 13"	"Cdk1 inhibitor"	NA	NA
"1448"	"2575"	"1"	"CCN1N=NC2=C(N=C(N=C12)C1=CC=C(NC(=O)NC2=CC=C(C=C2)C(=O)N2CCN(C)CC2)C=C1)N1CCOCC1"	"MIPE"	"NCGC00346649-01"	NA	"CAS:1173204-81-3"	"Mechanism: PI3K Inhibitor, mTOR, FRAP1 inhibitor"	"Source: Selleck/S2739"
"1449"	"2577"	"1"	"CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC1=CC=CC=C1"	"Prestwick"	"Prestw-58"	"Oxethazaine"	NA	NA	NA
"1450"	"2580"	"1"	"CN(C(=S)OC1=CC2=C(C=CC=C2)C=C1)C1=CC(C)=CC=C1"	"John Hopkins"	"JHU- 10295"	NA	"Therapeutic area: Antifungal"	NA	NA
"1451"	"2581"	"1"	"CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)C2=CC=CC=C2)C2=CC=C(Cl)C(Cl)=C2)CC1)C1=CC=CC=C1"	"MIPE"	"NCGC00263110-01"	NA	"CAS:160492-56-8"	"Mechanism: Tachykinin NK3 Antagonist"	"Source: ChemAxon/Axon 1533"
"1452"	"2584"	"1"	"[H]N1C=NC2=C1C1=C(C=C2)N=C(C)C=C1NC1=CC=C(C=C1)N(C)C(C)=O"	"NCI"	"GPHR-00221562"	NA	NA	NA	NA
"1453"	"2586"	"1"	"Cl.CN(C(CN1CCCC1)C1=CC(OCC(O)=O)=CC=C1)C(=O)CC1=CC=C(Cl)C(Cl)=C1"	"LOPAC"	"I122"	"ICI 204,448 hydrochloride"	"kappa Opioid receptor agonist that does not cross the blood brain barrier"	NA	NA
"1454"	"2587"	"1"	"Cl[H].CN([C@H](CN1CCCC1)C1=CC=CC=C1)C(=O)CC1=CC=CC=C1"	"Tocris"	"0783"	"N-Methyl-N-[(1S)-1-phenyl-2-(1-pyrrolidinyl)ethyl]phenylacetamidehydrochloride"	NA	"kappa opioid agonist "	NA
"1455"	"2588"	"0.408450704225352"	"Cl.CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1"	"LOPAC"	"L4762"	"Loperamide hydrochloride"	"Meperidine congener which binds to opioid receptors; Ca2+ channel antagonist"	NA	NA
"1456"	"2589"	"1"	"CN(C)C(=O)COC(=O)CC1=CC=C(OC(=O)C2=CC=C(NC(N)=N)C=C2)C=C1"	"MIPE"	"NCGC00167526-03"	NA	"CAS:59721-29-8"	"Mechanism: Serine Protease Inhibitor"	NA
"1457"	"2590"	"1"	"CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1"	"NIHCC"	"SAM001246549"	"GPHR-00101556"	NA	NA	NA
"1458"	"2591"	"1"	"CN(C)C(=O)N=NC(=O)N(C)C"	"LOPAC"	"D3648"	"N,N,N',N'-Tetramethylazodicarboxamide; Azodicarboxylic acid bis(dimethylamide); diamide"	"Thiol-oxidizing agent"	NA	NA
"1459"	"2592"	"1"	"CN(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1"	"Spectrum"	"00330030"	NA	"CAS: 330-54-1 Source: synthetic Status: agricultural use Therapeutic area: herbicide"	NA	NA
"1460"	"2594"	"1"	"CN(C)C(=O)O[C@@H]1CN[C@H](C1)C#CC1=CC2=NC=NC(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)=C2S1"	"PKIS1"	"GSK238063A"	NA	"Thienopyrimidine-based dual EGFR/ErbB-2 inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(3),  817-820.  CODEN: BMCLE8  ISSN:0960-894X.  AN 2009:119140    CAPLUS"	NA	NA
"1461"	"2595"	"1"	"CN(C)C(=O)O[C@H]1CN[C@@H](C1)C#CC1=CC2=NC=NC(NC3=CC=C(OCC4=CC=CC(F)=C4)C(Cl)=C3)=C2S1"	"PKIS1"	"GSK182497A"	NA	"Thienopyrimidine-based dual EGFR/ErbB-2 inhibitors.    Bioorganic & Medicinal Chemistry Letters  (2009),  19(3),  817-820.  CODEN: BMCLE8  ISSN:0960-894X.  AN 2009:119140    CAPLUS"	NA	NA
"1462"	"2597"	"1"	"CN(C)C(=O)OC1=CC(=CC(OC(=O)N(C)C)=C1)C(O)CNC(C)(C)C"	"John Hopkins"	"JHU- 954"	NA	"Therapeutic area: Bronchodilator"	NA	NA
"1463"	"2598"	"1"	"[Br-].CN(C)C(=O)OC1=C[N+](C)=CC=C1"	"LOPAC"	"P9797"	"Pyridostigmine bromide"	"Cholinesterase inhibitor"	NA	NA
"1464"	"2599"	"1"	"CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C"	"John Hopkins"	"JHU- 6842"	NA	"Therapeutic area: Cholinergic"	NA	NA
"1465"	"2600"	"1"	"CN(C)C(=O)[C@@H](O)[C@@H](CC1=CC=CC=C1)NC(=O)C1=CC2=C(N1)C=CC(Cl)=C2"	"MIPE"	"NCGC00346646-01"	NA	"CAS:186392-40-5"	"Mechanism: Glycogen Phosphorylase a Inhibitors "	"Source: Selleck/S2717"
"1466"	"2601"	"1"	"[H]N1C(=O)C(N=NC2=CC(C)=C(C=C2)N=NC2=CC=C(C=C2)C(=O)N(C)C)=C(O)C2=C1C=CC=C2"	"NCI"	"GPHR-00220762"	NA	NA	NA	NA
"1467"	"2602"	"1"	"CN(C)CC1=CC(NC(=C2/C(=O)NC3=C2C=CC(=C3)C(=O)N(C)C)C2=CC=CC=C2)=CC=C1"	"MIPE"	"NCGC00346544-01"	NA	"CAS:1094614-85-3"	"Mechanism: Mek 5 Inhibitor, ERK5 Inhibitor"	"Source: Selleck/S1531"
"1468"	"2603"	"1"	"CN(C)C(=O)C1=CC=CC(COC2=C(Cl)C=C(C=C2)N2C(N)=NC(N)=NC2(C)C)=C1"	"NCI"	"GPHR-00221462"	NA	NA	NA	NA
"1469"	"2605"	"1"	"CN(C)C(=O)N1N=NN=C1CC1=CC=C(C=C1)C1=CC=CC=C1"	"Tocris"	"2452"	"LY 2183240"	"CAS: 874902-19-9"	"Novel, anandamide uptake inhibitor. Inhibits FAAH"	NA
"1470"	"2608"	"1"	"CN(C)C(=S)SSC(=S)N(C)C"	"NCI"	"GPHR-00101650"	NA	NA	NA	NA
"1471"	"2609"	"1"	"CN(C)C(=N)NC(N)=N"	"John Hopkins"	"JHU- 6263"	NA	"Therapeutic area: Antidiabetic"	NA	NA
"1472"	"2614"	"1"	"CN(C)C1C2CC3C(=C(O)C4=C(C=CC=C4O)C3(C)O)C(=O)C2(O)C(=O)C(=C(/O)NCN2CCCC2)C1=O"	"John Hopkins"	"JHU- 8833"	NA	"Therapeutic area: Antibiotic"	NA	NA
"1473"	"2616"	"1"	"CN(C)NC(=O)CCC(O)=O"	"MIPE"	"NCGC00091281-07"	NA	"CAS:1596-84-5"	"Mechanism: KDM2/7 Histone Demethylases Inhibitor"	"Source: XcessBio/M60074"
"1474"	"2622"	"1"	"[H]N1C(=O)C(N=NC2=C(C=C(C)C=C2)S(=O)(=O)N(C)C)=C(O)C2=C1C=CC=C2"	"NCI"	"GPHR-00220529"	NA	NA	NA	NA
"1475"	"2623"	"0.333333333333334"	"CN(C)S(=O)(=O)C1=C(C)C=CC(=C1)[N+]([O-])=O"	"Tocris"	"2237"	"BRL 50481"	"CAS: 433695-36-4"	"PDE7 inhibitor"	NA
"1476"	"2627"	"0.544600938967135"	"CN(C)S(=O)(=O)C1=CC=C2NC(=O)C(=C/C3=CC4=C(CCCC4)N3)C2=C1"	"LOPAC"	"S9692"	"SU 6656; 2,3-Dihydro-N,N-dimethyl-2-oxo-3-[(4,5,6,7-tetrahydro-1H-indol-2-yl)methylene]-1H-indole-5-sulfonamide"	"Selective Src family kinase inhibitor."	NA	NA
"1477"	"2628"	"1"	"CS(O)(=O)=O.CS(O)(=O)=O.CN(C)S(=O)(=O)C1=CC2=C(SC3=C(C=CC=C3)N2CCCN2CCN(C)CC2)C=C1"	"Prestwick"	"Prestw-149"	"Thioproperazine dimesylate"	NA	NA	NA
"1478"	"2630"	"1"	"Cl.CN(C)S(=O)(=O)C1=CC2=C(SC3=C(C=CC=C3)C2=CCCN2CCN(C)CC2)C=C1"	"LOPAC"	"T0780"	"Thiothixene hydrochloride; SKF-5019 hydrochloride"	"Dopamine receptor antagonist; antipsychotic"	NA	NA
"1479"	"2634"	"0.417840375586854"	"Cl.[H][C@@]12[C@@H](O)[C@]3([H])C(=C)C4=CC=CC(O)=C4C(=O)C3=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C"	"Prestwick"	"Prestw-964"	"Methacycline hydrochloride"	NA	NA	NA
"1480"	"2635"	"1"	"[H][C@@]12[C@@H](O)[C@@]3([H])C(C(=O)C4=C(C=CC=C4O)[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C"	"MIPE"	"NCGC00091268-11"	NA	"CAS:79-57-2"	"Mechanism: Tetracycline Antibiotic"	"Source: Selleck/S1773"
"1481"	"2637"	"1"	"CN(C)N=NC1=C(N=CN1)C(N)=O"	"John Hopkins"	"JHU- 2710"	NA	"Therapeutic area: Antineoplastic"	NA	NA
"1482"	"2639"	"1"	"[H]C1=C(C=CC=C1)C1=CC(C2=CC=CC=C2)=C(N(C)C)C(=O)N1"	"NCI"	"GPHR-00220183"	NA	NA	NA	NA
"1483"	"2641"	"1"	"CN(C)C1=NC(N)=NC(=C1)C1=CC2=C(C=C1)C(N)=NN2"	"PKIS2"	"GSK2219329A"	NA	NA	NA	NA
"1484"	"2643"	"1"	"CN(C)C1=NC=C2N=CN=C(NC3=CC4=C(C=C3)N(CC3=CC=CC=C3)N=C4)C2=C1"	"LOPAC"	"G0668"	"GW2974; N4-(1-Benzyl-1H-indazol-5-yl)-N6,N6-dimethyl-pyrido[3,4-d]pyrimidine4-4,6-diamine "	"Dual EGFR and ErbB-2 receptor tyrosine kinase inhibitor"	NA	NA
"1485"	"2644"	"1"	"CN(C)C1=CC=C(C=C(C#N)C(=O)C2=CC=CC=C2)C=C1"	"NCI"	"GPHR-00220322"	NA	NA	NA	NA
"1486"	"2645"	"1"	"CN(C)C1=CC=C(C=C(C#N)C2=CC=CC=C2)C=C1"	"NCI"	"GPHR-00219993"	NA	NA	NA	NA
"1487"	"2646"	"1"	"CN(C)C1=CC=C(C=C2C=C(OC2=O)C2=CC3=C(CCCC3)C=C2)C=C1"	"NCI"	"GPHR-00220368"	NA	NA	NA	NA
"1488"	"2647"	"1"	"CN(C)C1=CC=C(C=C2C=CC3=C2C=CC=C3)C=C1"	"NCI"	"GPHR-00221048"	NA	NA	NA	NA
